Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@Ubisoft,https://twitter.com/Ubisoft/status/1777732158779531281#m,Posted,"Apr 9, 2024 · 4:15 PM UTC","Star Wars Outlaws is coming August 30th, 2024. Play up to 3 days early with Gold or Ultimate edition, which includes the base game and season pass.",https://twitter.com/Ubisoft/status/1777732158779531281#m,4114,602,590,1805
@StarWarsOutlaws,https://twitter.com/StarWarsOutlaws/status/1777365807225311441#m,Posted,"Apr 8, 2024 · 4:00 PM UTC",Watch the World Premiere of the Star Wars Outlaws Story Trailer. Join us tomorrow at 9AM PST / 6PM CET.,https://twitter.com/StarWarsOutlaws/status/1777365807225311441#m,2074,79,379,196
@StarWarsOutlaws,@originaluser,Retweet,"Apr 8, 2024 · 4:00 PM UTC",Watch the World Premiere of the Star Wars Outlaws Story Trailer. Join us tomorrow at 9AM PST / 6PM CET.,https://twitter.com/StarWarsOutlaws/status/1777365807225311441#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1776278891679629724#m,Posted,"Apr 5, 2024 · 4:01 PM UTC",Watch the World Premiere of the Star Wars Outlaws Story Trailer. Join us at 9AM PST / 6PM CET.   https://piped.video/tcdKEy-aJ6o,https://twitter.com/Ubisoft/status/1776278891679629724#m,5349,285,920,247
@Ubisoft,https://twitter.com/Ubisoft/status/1776244029706936408#m,Posted,"Apr 5, 2024 · 1:42 PM UTC",Are you a pro in Level Design? Start your engines and join our experts! Check out our job offers:  🏁 https://ubi.li/xoIbJ,https://twitter.com/Ubisoft/status/1776244029706936408#m,346,2,29,47
@skullnbonesgame,https://twitter.com/skullnbonesgame/status/1775916282077929577#m,Posted,"Apr 4, 2024 · 4:00 PM UTC","After witnessing Skull and Bones players’ dedication to raising funds for @oceana's campaigns through Waves of Change, Ubisoft decided to boost its support and donate 300.000€!   Hats off to everyone who played a part and to working together for ocean conservation 🤝",https://twitter.com/skullnbonesgame/status/1775916282077929577#m,317,8,55,29
@skullnbonesgame,@originaluser,Retweet,"Apr 4, 2024 · 4:00 PM UTC","After witnessing Skull and Bones players’ dedication to raising funds for @oceana's campaigns through Waves of Change, Ubisoft decided to boost its support and donate 300.000€!   Hats off to everyone who played a part and to working together for ocean conservation 🤝",https://twitter.com/skullnbonesgame/status/1775916282077929577#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1775915921455882637#m,Posted,"Apr 4, 2024 · 3:58 PM UTC",Play Might and Magic IX and over 100 games with Ubisoft+ on PC https://ubi.li/xa7ox,https://twitter.com/Ubisoft/status/1775915921455882637#m,79,2,4,19
@Ubisoft,https://twitter.com/Ubisoft/status/1775902426060468538#m,Posted,"Apr 4, 2024 · 3:05 PM UTC",💀💀💀   #MightAndMagic9,https://twitter.com/Ubisoft/status/1775902426060468538#m,474,3,17,32
@Ubisoft,https://twitter.com/Ubisoft/status/1775498114834563126#m,Posted,"Apr 3, 2024 · 12:18 PM UTC","The story continues in #ValiantHearts Coming Home, from the moment where the US send armed forces to Allies, all the way to the Armistice. Experience the end of the Great War alongside the US soldier James, the German diver Ersnt, George the mysterious pilot, and of course, Anna the courageous nurse. ❤🤍",https://twitter.com/Ubisoft/status/1775498114834563126#m,52,0,5,12
